,country,qii,gdp,iso_a3,continent,year,pop
14,Slovenia,121.94,22563.157,SVN,Europe,2012,2057159
115,Czech Republic,122.18,19912.51,CZE,Europe,2013,10514272
208,Czech Republic,122.99,19768.84,CZE,Europe,2014,10525347
349,Kuwait,123.39,27398.083,KWT,Asia,2015,3935794
205,Spain,123.64,29686.682,ESP,Europe,2014,46480882
244,Puerto Rico,123.64,28981.343,PRI,North America,2014,3534874
117,South Africa,123.77,6907.599,ZAF,Africa,2013,53311955.61
204,Portugal,124.71,22112.538,PRT,Europe,2014,10401062
13,Ireland,125.14,48892.231,IRL,Europe,2012,4586897
200,Slovenia,125.56,24243.945,SVN,Europe,2014,2061980
337,Puerto Rico,125.69,29755.35,PRI,North America,2015,3473181
301,Czech Republic,127.53,17728.702,CZE,Europe,2015,10546059
413,Colombia,128.46,5799.615,COL,South America,2016,48653419
297,Portugal,129.16,19262.274,PRT,Europe,2015,10358076
12,Japan,130.52,48632.903,JPN,Asia,2012,127629000
107,Slovenia,133.62,23378.09,SVN,Europe,2013,2059953
432,Lithuania,134.33,14988.706,LTU,Europe,2016,2872298
293,Slovenia,134.49,20904.665,SVN,Europe,2015,2063531
206,Belgium,134.71,47550.179,BEL,Europe,2014,11209057
298,Spain,134.91,25849.685,ESP,Europe,2015,46447697
149,South Korea,135.62,25890.016,KOR,Asia,2013,50428893
299,Belgium,135.95,40585.196,BEL,Europe,2015,11274196
201,France,136.31,44616.405,FRA,Europe,2014,66331957
402,Mexico,137.01,8814.916,MEX,North America,2016,127540423
398,Turkey,137.31,10817.389,TUR,Europe,2016,79512426
399,Turkey,137.31,10817.389,TUR,Asia,2016,79512426
407,Serbia,138.26,5756.384,SRB,Europe,2016,7057412
408,Argentina,138.48,12772.868,ARG,South America,2016,43847430
294,France,139.31,37937.853,FRA,Europe,2015,66624068
211,Saudi Arabia,139.88,24580.472,SAU,Asia,2014,30776722
118,Saudi Arabia,140.49,24892.99,SAU,Asia,2013,29944476
11,United States,140.62,51556.171,USA,North America,2012,313998379
404,Hungary,140.74,12818.716,HUN,Europe,2016,9817958
112,Spain,141.05,29237.722,ESP,Europe,2013,46620045
256,Kuwait,141.37,40278.045,KWT,Asia,2014,3782450
409,Bulgaria,141.61,7496.084,BGR,Europe,2016,7127822
199,Ireland,142.35,55534.102,IRL,Europe,2014,4617225
375,United Arab Emirates,144.09,36226.239,ARE,Asia,2016,9269612
334,Estonia,144.59,17421.214,EST,Europe,2015,1315407
332,Qatar,144.89,66346.911,QAT,Asia,2015,2481539
241,Estonia,145.4,20267.044,EST,Europe,2014,1314545
411,Romania,146.13,9538.926,ROU,Europe,2016,19705301
410,Bosnia And Herzegovina,146.7,4808.299,BIH,Europe,2016,3516816
113,Belgium,146.73,46784.987,BEL,Europe,2013,11182817
415,Chile,147.26,13775.713,CHL,South America,2016,17909754
110,United Kingdom,148.12,42981.253,GBR,Europe,2013,64128226
292,Ireland,148.85,61702.511,IRL,Europe,2015,4676835
106,Ireland,149.64,51550.927,IRL,Europe,2013,4598294
203,United Kingdom,150.97,47003.879,GBR,Europe,2014,64613160
108,France,151.36,44145.229,FRA,Europe,2013,65998570
401,Poland,153.61,12427.647,POL,Europe,2016,37948016
282,United Arab Emirates,153.68,37380.571,ARE,Asia,2015,9154302
355,Cyprus,154.91,23248.193,CYP,Europe,2015,1160985
356,Cyprus,154.91,23248.193,CYP,Asia,2015,1160985
148,Estonia,154.95,19078.213,EST,Europe,2013,1317997
396,South Africa,156.7,5326.729,ZAF,Africa,2016,55908865
296,United Kingdom,156.9,44494.861,GBR,Europe,2015,65128861
354,Turkmenistan,157.09,6432.669,TKM,Asia,2015,5565284
10,Netherlands,158.07,50100.615,NLD,Europe,2012,16754962
397,Saudi Arabia,159.18,20317.679,SAU,Asia,2016,32275687
403,Italy,159.28,30824.303,ITA,Europe,2016,60600590
105,Japan,159.79,40490.155,JPN,Asia,2013,127445000
9,Austria,159.89,48615.817,AUT,Europe,2012,8429991
103,Netherlands,160.54,52201.723,NLD,Europe,2013,16804432
196,Netherlands,160.98,52914.136,NLD,Europe,2014,16865008
8,Australia,162.03,68436.219,AUS,Oceania,2012,22728254
392,Belgium,162.29,41545.958,BEL,Europe,2016,11348159
7,Denmark,163.12,58623.414,DNK,Europe,2012,5591572
97,New Zealand,163.17,41775.712,NZL,Oceania,2013,4442100
6,Canada,164.99,52753.346,CAN,North America,2012,34750545
414,Greece,165.43,18110.873,GRC,Europe,2016,10746740
101,Australia,165.8,65170.853,AUS,Oceania,2013,23117353
388,Israel,166.63,37382.957,ISR,Asia,2016,8547100
289,Netherlands,166.76,45205.77,NLD,Europe,2015,16939923
147,Finland,167.21,49766.126,FIN,Europe,2013,5438972
394,Czech Republic,167.38,18485.235,CZE,Europe,2016,10561633
102,Austria,167.39,50748.087,AUT,Europe,2013,8479375
291,Japan,168.28,34568.925,JPN,Asia,2015,127141000
188,Norway,168.41,96837.607,NOR,Europe,2014,5137232
198,Japan,168.47,38156.33,JPN,Asia,2014,127276000
190,New Zealand,168.56,43857.784,NZL,Oceania,2014,4509700
304,Saudi Arabia,169.37,21094.595,SAU,Asia,2015,31557144
146,Qatar,169.92,99180.39,QAT,Asia,2013,2250473
428,South Korea,170.29,27608.248,KOR,Asia,2016,51245707
5,Sweden,171.72,56978.613,SWE,Europe,2012,9519374
195,Austria,171.82,51814.366,AUT,Europe,2014,8541575
385,Ireland,171.92,63289.731,IRL,Europe,2016,4773095
393,Croatia,172.39,12367.801,HRV,Europe,2016,4170600
189,United Arab Emirates,173.27,43340.018,ARE,Asia,2014,9070867
387,France,173.56,38253.422,FRA,Europe,2016,66896109
95,Norway,173.86,102722,NOR,Europe,2013,5079623
4,New Zealand,174.28,39553.735,NZL,Oceania,2012,4408100
281,Norway,175.09,74280.697,NOR,Europe,2015,5188607
283,New Zealand,175.51,37741.881,NZL,Oceania,2015,4595700
386,Slovenia,175.93,21635.439,SVN,Europe,2016,2064845
194,Australia,175.98,61652.281,AUS,Oceania,2014,23460694
384,Japan,176.06,38804.858,JPN,Asia,2016,126994511
3,United Arab Emirates,177.07,42723.581,ARE,Asia,2012,8900453
378,Canada,177.23,42446.551,CAN,North America,2016,36286425
285,Canada,177.63,43615.795,CAN,North America,2015,35848610
192,Canada,178.29,50958.059,CAN,North America,2014,35544564
193,Denmark,178.55,62729.499,DNK,Europe,2014,5643475
240,Finland,178.88,50087.853,FIN,Europe,2014,5461512
389,United Kingdom,180.25,40657.859,GBR,Europe,2016,65637239
287,Australia,180.81,51493.961,AUS,Oceania,2015,23789338
191,Sweden,180.92,58930.154,SWE,Europe,2014,9696110
390,Portugal,181.18,19985.547,PRT,Europe,2016,10324611
100,Denmark,182.29,61325.575,DNK,Europe,2013,5614932
288,Austria,182.62,44266.411,AUT,Europe,2015,8633169
2,Norway,183.43,101273.375,NOR,Europe,2012,5018573
383,United States,183.96,57876.631,USA,North America,2016,323127513
426,Finland,184.01,43582.433,FIN,Europe,2016,5495096
1,Germany,184.42,44089.275,DEU,Europe,2012,80425823
377,Sweden,185.81,51245.363,SWE,Europe,2016,9903122
96,United Arab Emirates,186.01,43197.43,ARE,Asia,2013,9006263
99,Canada,186.03,52726.053,CAN,North America,2013,35155451
391,Spain,186.41,26681.824,ESP,Europe,2016,46443959
374,Norway,188.9,70703.165,NOR,Europe,2016,5232929
286,Denmark,190.18,53478.495,DNK,Europe,2015,5683483
333,Finland,190.25,42505.91,FIN,Europe,2015,5479531
98,Sweden,191.36,60069.346,SWE,Europe,2013,9600379
381,Austria,192.4,45105.749,AUT,Europe,2016,8747358
