,Country,QII_2012,QII_2013,QII_2014,QII_2015,QII_2016,QII_2017,QII_2019,QII_2018,ISO_A3,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,COMB_2012,COMB_2013,COMB_2014,COMB_2015,COMB_2016,COMB_2017
41,Greece,23.28,55.51,77.48,94.66,165.43,148.32,137.82,137.43,GRC,22171.91,21805.26,21726.89,18114.72,18110.87,18897.64,0.028,0.065,0.094,0.093,0.178,0.2
42,Chile,21.04,72.56,69.32,65.48,147.26,136.2,124.14,122.73,CHL,15307.77,15804.36,14643.84,13571.97,13775.71,15127.76,0.017,0.062,0.056,0.048,0.121,0.147
43,Brazil,10.81,48.21,38.76,29.84,101.02,96.15,100.33,100.13,BRA,12426.69,12357.57,12176.25,8846.38,8752.33,9928.23,0.007,0.032,0.026,0.014,0.053,0.068
44,Pakistan,-3.05,7.67,22.32,21.82,93.99,93.41,104.63,100.35,PAK,1254.17,1266.74,1312.43,1424.95,1439.63,1545.94,-0.0,0.001,0.002,0.002,0.008,0.01
45,Philippines,-3.77,21.08,28.09,36.95,65.83,56.87,90.73,99.11,PHL,2591.63,2768.47,2849.27,2882.77,2953.21,2988.9,-0.001,0.003,0.004,0.006,0.012,0.012
46,Russia,-7.39,18.5,16.53,28.38,88.31,85.93,104.94,103.32,RUS,15358.08,15942.14,14305.57,9477.56,8909.55,10961.99,-0.006,0.016,0.013,0.015,0.047,0.067
47,Ukraine,-14.61,31.86,22.22,20.1,85.56,87.49,102.34,95.96,UKR,3872.53,3968.8,3053.61,2124.62,2200.0,2655.94,-0.003,0.007,0.004,0.002,0.011,0.017
48,Egypt,-22.17,7.59,5.41,-7.07,88.79,91.81,83.98,84.42,EGY,3383.11,3400.32,3524.42,3731.18,3686.07,2495.02,-0.004,0.001,0.001,-0.001,0.019,0.016
49,Iran,-35.23,-6.96,-11.08,1.07,96.93,97.17,87.02,92.43,IRN,5118.47,5152.04,5395.79,4723.48,5026.65,5289.8,-0.01,-0.002,-0.003,0.0,0.029,0.037
50,China,-49.55,31.5,30.3,15.99,99.03,90.95,97.92,99.43,CHN,6329.46,7080.83,7701.69,8166.76,8115.83,8677.4,-0.017,0.012,0.013,0.007,0.048,0.056
52,Finland,160.39,167.21,178.88,190.25,184.01,182.93,194.01,195.3,FIN,47553.4,49766.13,50087.85,42505.91,43582.43,45937.75,0.411,0.45,0.498,0.44,0.478,0.6
54,South Korea,132.55,135.62,117.9,120.03,170.29,162.49,149.53,155.38,KOR,24358.78,25890.02,27811.37,27105.08,27608.25,29749.8,0.174,0.19,0.182,0.177,0.28,0.345
